featureid	Participant_id	AvgSpotLen	Bases	BioSample	Center Name	Collection_Date	Experiment	geo_loc_name	Instrument	LibraryLayout	Organism
SRR25474197	MIC039	602	59280144	SAMN36771245	UNIVERSIDAD DE ANTIOQUIA	14/6/2019	SRX21206400	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474196	MIC040	602	62748868	SAMN36771246	UNIVERSIDAD DE ANTIOQUIA	18/6/2019	SRX21206401	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474195	MIC041	602	63298494	SAMN36771247	UNIVERSIDAD DE ANTIOQUIA	11/7/2019	SRX21206402	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474194	MIC042	602	68454624	SAMN36771248	UNIVERSIDAD DE ANTIOQUIA	16/7/2019	SRX21206403	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474193	MIC043	602	48543474	SAMN36771249	UNIVERSIDAD DE ANTIOQUIA	12/7/2019	SRX21206404	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474192	MIC044	602	66082142	SAMN36771250	UNIVERSIDAD DE ANTIOQUIA	25/7/2019	SRX21206405	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474191	MIC045	602	56796894	SAMN36771251	UNIVERSIDAD DE ANTIOQUIA	25/7/2019	SRX21206406	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474190	MIC046	602	54347958	SAMN36771252	UNIVERSIDAD DE ANTIOQUIA	25/7/2019	SRX21206407	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474188	MIC047	602	55722324	SAMN36771253	UNIVERSIDAD DE ANTIOQUIA	30/7/2019	SRX21206409	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474183	MIC048	602	62398504	SAMN36771254	UNIVERSIDAD DE ANTIOQUIA	31/7/2019	SRX21206414	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474182	MIC049	602	59764754	SAMN36771255	UNIVERSIDAD DE ANTIOQUIA	6/8/2019	SRX21206415	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474181	MIC051	602	69812134	SAMN36771256	UNIVERSIDAD DE ANTIOQUIA	16/8/2019	SRX21206416	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474180	MIC052	602	65341682	SAMN36771257	UNIVERSIDAD DE ANTIOQUIA	16/8/2019	SRX21206417	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474179	MIC053	602	84885010	SAMN36771258	UNIVERSIDAD DE ANTIOQUIA	30/8/2019	SRX21206418	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474178	MIC056	602	68272218	SAMN36771259	UNIVERSIDAD DE ANTIOQUIA	12/9/2019	SRX21206419	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474177	MIC057	602	69503910	SAMN36771260	UNIVERSIDAD DE ANTIOQUIA	13/9/2019	SRX21206420	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474176	MIC059	602	76594868	SAMN36771261	UNIVERSIDAD DE ANTIOQUIA	9/10/2019	SRX21206421	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474175	MIC060	602	71184694	SAMN36771262	UNIVERSIDAD DE ANTIOQUIA	2/10/2019	SRX21206422	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474173	MIC061	602	82168184	SAMN36771263	UNIVERSIDAD DE ANTIOQUIA	3/10/2019	SRX21206424	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474172	MIC063	602	81949056	SAMN36771264	UNIVERSIDAD DE ANTIOQUIA	10/10/2019	SRX21206425	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474171	MIC064	602	76635804	SAMN36771265	UNIVERSIDAD DE ANTIOQUIA	22/10/2019	SRX21206426	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474170	MIC065	602	74776828	SAMN36771266	UNIVERSIDAD DE ANTIOQUIA	31/10/2019	SRX21206427	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474169	MIC068	602	73928008	SAMN36771267	UNIVERSIDAD DE ANTIOQUIA	13/12/2019	SRX21206428	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
SRR25474168	MIC069	602	64385706	SAMN36771268	UNIVERSIDAD DE ANTIOQUIA	22/1/2020	SRX21206429	Colombia:Medellin	Illumina MiSeq	PAIRED	human gut metagenome
